"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ap1m1",4.00778180368888e-05,0.330612475639818,0.164,0.058,1
"Jund",4.07599534964879e-05,-0.40381407176763,0.615,0.706,1
"Socs3",4.2500733428885e-05,0.604736599231961,0.303,0.154,1
"Ndufb10",4.32285478753883e-05,0.435217037694037,0.426,0.25,1
"Cdk4",4.56912748246522e-05,0.341011252905029,0.254,0.113,1
"H2-D1",5.029551357926e-05,0.257932813012026,0.992,0.924,1
"Rpl27-ps3",5.04318048337276e-05,-0.668581223630858,0.107,0.267,1
"Pla2g16",5.11154186921093e-05,0.381807090317461,0.262,0.12,1
"Arpc1b",5.50122515747605e-05,0.330362135084781,0.746,0.631,1
"Pfdn5",5.65238870851848e-05,0.280914008826999,0.869,0.727,1
"Rps12-ps3",5.67910505656038e-05,-0.630714984764188,0.049,0.197,1
"Fam69a",6.77890450320325e-05,0.3757011563664,0.18,0.072,1
"Pdia3",7.88235264298702e-05,0.438714925011396,0.311,0.158,1
"Calm1",8.00886578415229e-05,0.304390810853306,0.877,0.739,1
"H2-Q7",8.35842048561605e-05,0.383294334958826,0.705,0.512,1
"Nhp2",8.40124056059807e-05,0.337377187644898,0.361,0.195,1
"Psmc6",9.76688883068022e-05,0.348089891445613,0.213,0.091,1
"Capns1",0.000113841456758586,0.343470697376986,0.328,0.171,1
"Cst7",0.000119036072625559,0.336303867447264,0.172,0.068,1
"Rsl24d1",0.000121949613178754,0.325517935687139,0.23,0.104,1
"Wbp1",0.000133735998387774,0.289903934911139,0.115,0.036,1
"Hmgb1",0.000134816734646007,-0.581756570234651,0.172,0.329,1
"Srsf7",0.000136487262900511,0.35263493441356,0.352,0.192,1
"Btf3",0.000139240383774644,0.276120155485658,0.852,0.699,1
"Polr2h",0.000140744519600977,0.360483113139459,0.164,0.066,1
"Ift20",0.000154547156597837,0.390191615670043,0.23,0.108,1
"Cyc1",0.000175184347418908,0.274713695802072,0.311,0.158,1
"Tor1a",0.000197382860180311,0.351420394035727,0.148,0.056,1
"Sdhaf2",0.000207908947526144,0.379860173383486,0.131,0.047,1
"Gbp7",0.000214062550098505,0.320450974549769,0.115,0.038,1
"Ppid",0.000216025622189799,0.276410878611562,0.156,0.059,1
"Nub1",0.00022237808588927,0.347866802709095,0.131,0.047,1
"Srgn",0.000232593626154216,0.372625637840665,0.762,0.593,1
"Atp5b",0.000259411524258191,0.285284317139433,0.713,0.559,1
"Psme1",0.000271726754978472,0.343054963416088,0.607,0.432,1
"Mrps25",0.000275893705021339,0.314816396089337,0.139,0.052,1
"Gapdh",0.000295769084287641,-0.594746769788058,0.148,0.289,1
"Acot7",0.000302380428947229,0.308998294132292,0.131,0.049,1
"Chchd7",0.000307414710798569,0.262337358593891,0.131,0.047,1
"Vcp",0.000318655939781398,0.30405886545567,0.32,0.175,1
"Dnajb11",0.000351965137847112,0.380905480294638,0.205,0.096,1
"Ppp1r12a",0.000356615002010881,0.371568449800408,0.246,0.124,1
"Gimap7",0.000364542543739252,0.44004763991743,0.221,0.107,1
"Lsg1",0.000370206428345212,0.331373400174817,0.107,0.035,1
"Ppil2",0.000386337300686459,0.363468527059671,0.197,0.09,1
"Ctsw",0.000392888710453056,0.399229460555807,0.23,0.112,1
"Eif3h",0.000395668178851822,0.251594885612642,0.803,0.653,1
"Emc4",0.00040595397314722,0.28094109816098,0.18,0.079,1
"Gpx4",0.000407992337365098,0.34280433209098,0.566,0.383,1
"Bin1",0.000420927845919851,0.391187002077887,0.279,0.154,1
"Slc25a4",0.000461182616779302,0.301641994670585,0.344,0.198,1
"Csnk1d",0.000461451793250426,0.342358436206146,0.164,0.069,1
"Dapl1",0.000467871193464154,-0.729231359222871,0.172,0.308,1
"U2af1",0.000473322532871756,0.317491011516432,0.352,0.205,1
"Gadd45b",0.000503610195373777,0.483611793143047,0.246,0.131,1
"Ncl",0.000523871578669071,0.368798435672691,0.664,0.492,1
"Timm8b",0.000545504297061473,0.303816287341731,0.197,0.091,1
"Crbn",0.000570094447873123,0.33131468949478,0.164,0.07,1
"Id2",0.000597078740526254,0.462592647001134,0.336,0.203,1
"Hspa9",0.000600638739913259,0.338682364941008,0.221,0.109,1
"Jaml",0.000647204391490866,0.314384142050509,0.107,0.036,1
"Cbfb",0.000650560679941307,0.309113548514773,0.18,0.081,1
"Ndufa3",0.000656151016012156,-0.529430889848467,0.238,0.375,1
"Ccr7",0.000665704836048494,-0.345374385154874,0.352,0.5,1
"Glmp",0.000669819386157663,0.297552485354843,0.189,0.086,1
"Npm1",0.000715711813687476,0.269560798551204,0.869,0.755,1
"Bccip",0.000721225536260157,0.270872378841546,0.254,0.129,1
"Eno1",0.000784631468145947,-0.484280368270408,0.221,0.354,1
"Runx3",0.000804915984462865,0.260012815334625,0.197,0.091,1
"Susd3",0.000812701834970349,0.339700748125264,0.123,0.047,1
"1810022K09Rik",0.000813942986939038,0.42473596954228,0.213,0.107,1
"Eif3m",0.000814814033773826,0.307054595988509,0.5,0.335,1
"Pgls",0.000844896640759937,0.290476279513585,0.336,0.193,1
"Slamf6",0.000864066907798328,0.262729830783467,0.303,0.166,1
"Ddx41",0.000887323489214604,0.364988460109943,0.156,0.069,1
"H2afz",0.000897290128959465,0.407724741503238,0.598,0.467,1
"Tpst2",0.000930839806220752,0.346343082795615,0.279,0.152,1
"S1pr1",0.000938824152165698,-0.525706450951319,0.148,0.285,1
"Ggnbp2",0.000960155208389995,0.278115053496337,0.189,0.089,1
"Pafah1b1",0.000996753288482597,0.260668627187784,0.303,0.172,1
"Cnbp",0.001008442484436,0.297031752635267,0.656,0.524,1
"Pdcd10",0.00101594374670205,0.293176104313278,0.295,0.164,1
"Chchd2",0.00102362167820043,0.252553894652499,0.779,0.617,1
"Slc25a5",0.00108684080651249,0.257133935724656,0.754,0.619,1
"Yaf2",0.00111911392967111,0.251127019874968,0.139,0.057,1
"Spcs2",0.0012161226157863,0.286721950930539,0.5,0.329,1
"Hypk",0.00124941523355758,-0.418764038947316,0.033,0.135,1
"Pdcd4",0.00131529893011379,-0.471038247998017,0.189,0.34,1
"Nrip1",0.00132075339474188,0.391858235304325,0.205,0.106,1
"1700123O20Rik",0.00134449087707585,0.289578533674204,0.148,0.064,1
"Stat1",0.00136331863183833,0.340748780729372,0.221,0.114,1
"Mndal",0.00137962159145557,0.274109498491636,0.213,0.107,1
"Gtpbp2",0.00140083925826294,0.284337319025417,0.131,0.055,1
"Tnfaip8",0.00140538084922481,0.270644457068107,0.213,0.107,1
"Cct3",0.00151524030381934,0.350492583256739,0.336,0.208,1
"Cox17",0.00156404710041941,-0.394450745994923,0.074,0.191,1
"Lsp1",0.00161385080571365,0.267187920784861,0.533,0.382,1
