"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Tiprl",0.00946200617056268,-0.36176739853616,0.074,0.152,1
"Havcr2",0.00985819841148711,0.359320650536448,0.132,0.048,1
"Rps27rt",0.0100659109252969,-0.518548639206254,0.338,0.424,1
"Hnrnph1",0.0105273181266643,-0.442160071715593,0.119,0.208,1
"Hspe1",0.0108513384229958,-0.357629211522917,0.531,0.664,1
"Rps18",0.0108840506088913,-0.278668223439457,0.891,0.872,1
"Dennd4a",0.0119659635806418,-0.314069675315666,0.232,0.344,1
"Pdcd6",0.0122075985979112,0.370189454637666,0.232,0.128,1
"Il1r2",0.0124217514174719,0.650154121312839,0.257,0.16,1
"Akap9",0.0125176364777474,-0.254016928584442,0.074,0.152,1
"Fcer2a",0.0126233854963946,-0.289300485302472,0.042,0.104,1
"Txnip",0.0127384483363527,-0.410380131325925,0.1,0.184,1
"H2-T23",0.0127766027909783,-0.287672843666899,0.296,0.416,1
"Ear2",0.0128515739198193,0.493707024746231,0.203,0.104,1
"Cdip1",0.0130333768903092,-0.303757162701867,0.048,0.112,1
"Calm1",0.0130705792724878,0.258714007292724,0.9,0.864,1
"Qpct",0.013086788147895,0.312831796479215,0.151,0.064,1
"Ubap2l",0.0134626889831873,-0.269701803911315,0.106,0.192,1
"Ly6d",0.0136308993919349,-0.513759178546352,0.244,0.36,1
"Ifi209",0.0139128278963057,-0.272115770238989,0.048,0.112,1
"Anxa4",0.014359635331683,0.309394960684053,0.116,0.04,1
"Trnau1ap",0.014569991759847,-0.327651562651389,0.071,0.144,1
"Nipbl",0.0146739671220362,0.369183110375297,0.148,0.064,1
"Sh2b3",0.0154126064624092,-0.26551654264217,0.048,0.112,1
"Mgat2",0.0168015936277167,-0.25515587002288,0.09,0.168,1
"Uvrag",0.0168345961113068,-0.303396309389656,0.129,0.208,1
"Arhgef2",0.0169092930053075,-0.341541631399848,0.055,0.12,1
"Myh9",0.01727534305292,-0.252038487799003,0.071,0.144,1
"C1qa",0.0179610607392749,0.75322055153534,0.238,0.144,1
"Tmem167",0.0182492940475505,-0.258108113497362,0.299,0.4,1
"Cklf",0.0183571367294444,-0.289039677379341,0.154,0.248,1
"Apoe",0.0190862067555301,0.439352715841804,0.63,0.512,1
"9530068E07Rik",0.0194786618969157,-0.325390425558883,0.08,0.152,1
"Cd81",0.0199566436693112,0.583782784435213,0.302,0.208,1
"Polr2l",0.0200081825607716,-0.382459710303027,0.051,0.112,1
"Mef2c",0.0204576712774309,-0.265958133289514,0.193,0.304,1
"Samsn1",0.0213819456407768,-0.278432168122366,0.196,0.296,1
"Rplp2",0.0220679055852887,-0.271787551619937,0.929,0.976,1
"Zfp593",0.0221133599671421,-0.295775648051513,0.09,0.16,1
"H2-Q4",0.0225483387244183,-0.305871784243428,0.087,0.16,1
