Cluster,GeneSymbol
Enterocyte,Espn
Enterocyte,Anxa13
Enterocyte,Lpgat1
Enterocyte,Smim24
Enterocyte,Cda
Enterocyte,Fahd1
Enterocyte,Trim31
Enterocyte,Tmc5
Enterocyte,Nat8f1
Enterocyte,Abcb1a
Enterocyte,Myo1a
Enterocyte,Slc35f5
Enterocyte,Pklr
Enterocyte,Tkfc
Enterocyte,Dst
Enterocyte,Ugt2b34
Enterocyte,Ypel2
Enterocyte,Dhrs11
Enterocyte,Agpat9
Enterocyte,Abhd6
Enterocyte,Mylk
Enterocyte,Slc9a3r1
Enterocyte,Ces2g
Enterocyte,Gna11
Enterocyte,Slc22a18
Enterocyte,Mgam
Enterocyte,Eps8l2
Enterocyte,Mical2
Enterocyte,Stap2
Enterocyte,Adipor2
Enterocyte,Ccl25
Enterocyte,Edn2
Enterocyte,Scoc
Enterocyte,Myh14
Enterocyte,Tstd3
Enterocyte,Pfkp
Enterocyte,Sdcbp2
Enterocyte,Scp2
Enterocyte,Hagh
Enterocyte,Aadac
Enterocyte,Coro2a
Enterocyte,Bpnt1
Enterocyte,Mertk
Enterocyte,Tcn2
Enterocyte,Gnpda1
Enterocyte,Cdhr2
Enterocyte,Sult1d1
Enterocyte,Slc25a24
Enterocyte,Aoc1
Enterocyte,Slc35c2
Enterocyte,Casp6
Enterocyte,Aldh1l1
Enterocyte,Mkrn2os
Enterocyte,Vil1
Enterocyte,Mettl7b
Enterocyte,Trim12a
Enterocyte,Zzef1
Enterocyte,4931406C07Rik
Enterocyte,Gal3st1
Enterocyte,Gmfg
Enterocyte,Marc2
Enterocyte,Srxn1
Enterocyte,Hpgd
Enterocyte,Pcyt1a
Enterocyte,Mgst3
Enterocyte,Clcn2
Enterocyte,Chst4
Enterocyte,Acot9
Enterocyte,0610005C13Rik
Enterocyte,Slc6a8
Goblet,Clca1
Goblet,Zg16
Goblet,Tpsg1
Goblet,Rep15
Goblet,Agr2
Goblet,Fcgbp
Goblet,Guca2a
Goblet,Muc2
Goblet,Tff3
Goblet,Ccl9
Goblet,Bace2
Goblet,Ern2
Goblet,Atoh1
Goblet,Spdef
Goblet,Scin
Goblet,Hpd
Goblet,Creb3l4
Goblet,Spink4
Goblet,Ttc39a
Goblet,Lrrc26
Goblet,S100a6
Goblet,Cbfa2t3
Goblet,Ramp1
Goblet,Selenom
Goblet,Hgfac
Goblet,Tnfaip8
Goblet,Klf4
Goblet,Slc12a8
Goblet,Gcnt3
Goblet,Pdia5
Goblet,Ccl6
Goblet,Hepacam2
Goblet,Fkbp11
Goblet,Creb3l1
Goblet,Fxyd3
Goblet,Txndc5
Goblet,Chst4
Goblet,Galnt12
Goblet,Liph
Goblet,5330417C22Rik
Goblet,Rasa4
Goblet,Rcn1
Goblet,Rab15
Goblet,Dll1
Goblet,Qsox1
Goblet,Dnajc10
Goblet,Klk1
Goblet,Tspan13
Goblet,Dpysl2
Goblet,Atp2a3
Goblet,Rab27b
Goblet,Car8
Goblet,Smim14
Goblet,Rnase4
Goblet,P2rx4
Goblet,Smim6
Goblet,Nucb2
Goblet,Fam174b
Goblet,AW112010
Goblet,Rassf6
Goblet,Asph
Goblet,Atf3
Goblet,Foxa3
Goblet,Rab3d
Goblet,Gde1
Goblet,Upb1
Goblet,Nupr1
Goblet,Fosb
Goblet,Arfgef3
Goblet,C1galt1c1
Goblet,Npdc1
Goblet,Rnase1
Goblet,Cracr2b
Goblet,Guca2b
Goblet,Kctd14
Goblet,Mlph
Goblet,Atp2c2
Goblet,Tmem263
Goblet,Wars
Goblet,Ica1
Goblet,Fam114a1
Goblet,Ang
Goblet,S100a13
Goblet,Adgre5
Goblet,Ndrg1
Goblet,Tmsb10
Goblet,Muc3a
Goblet,Anxa5
Goblet,Sec24d
Goblet,C1galt1
Goblet,Mllt3
Goblet,Litaf
Goblet,Ffar2
Goblet,Sgsm3
Goblet,Galnt7
Goblet,Gm9844
Goblet,Reep5
Goblet,Tm4sf4
Goblet,Tmem123
Goblet,Tmed3
Goblet,Tubb2a
Goblet,Gimd1
Goblet,Slc25a35
Goblet,Cgref1
Goblet,Tecpr1
Goblet,Samhd1
Goblet,Tor3a
Goblet,Tspan1
Goblet,Ikbip
Goblet,Sh3bgrl3
Goblet,Krt7
Goblet,Creld2
Goblet,Fam213a
Goblet,Gfpt1
Goblet,Galnt3
Goblet,Golph3l
Goblet,Ergic1
Goblet,Galnt10
Goblet,Rgs2
Goblet,Cfi
Goblet,Csrp1
Goblet,Tpd52
Goblet,Sdf2l1
Goblet,Slc50a1
Goblet,Herpud1
Goblet,Pdia6
Goblet,Mgat3
Goblet,Stard3nl
Goblet,Bcat2
Goblet,Ank3
Goblet,Mmp7
Goblet,Bhlhe40
Goblet,Fut4
Goblet,Tmco3
Goblet,Stard10
Goblet,Cmtm7
Goblet,Cmpk1
Goblet,Phlda1
Goblet,RP23-383B20.1
Goblet,Gmppb
Goblet,Cpd
Goblet,Tulp4
Goblet,Stx17
Goblet,Fam221a
Goblet,Uap1
Goblet,Ifi27l2b
Goblet,Galnt6
Goblet,Edem1
Goblet,Serp1
Goblet,Dap
Goblet,Dusp1
Goblet,Oit1
Goblet,Krt18
Goblet,Kdelr2
Goblet,Stxbp6
Goblet,Foxa1
Goblet,Edem2
Goblet,Mid1ip1
Goblet,Dnajc12
Goblet,Foxa2
Goblet,Selenos
Goblet,Slc7a4
Goblet,Fos
Goblet,Lbh
Goblet,Tsc22d1
Goblet,Irf7
Goblet,Hspa1a
Goblet,Manf
Goblet,Sec11c
Goblet,Gm10320
Goblet,1700066B19Rik
Goblet,Gadd45g
Goblet,Akr1b10
Goblet,Nectin1
Goblet,Slc35a2
Goblet,Cd9
Goblet,Rasef
Goblet,Tpm4
Goblet,Slc26a2
Goblet,Camk2n1
Goblet,Fam69a
Goblet,H2-M3
Goblet,Prrc1
Goblet,Gale
Goblet,Papss1
Goblet,Osbpl2
Goblet,Tsta3
Goblet,Mxd4
Goblet,D630039A03Rik
Goblet,Anxa13
Goblet,Fndc3a
Goblet,Neat1
Goblet,Plpp5
Goblet,Gadd45b
Goblet,Galk2
Goblet,Fhl2
Goblet,Rhob
Goblet,Edem3
Goblet,Dopey2
Stem,Lgr5
Stem,Olfm4
Stem,Gkn3
Stem,Rgcc
Stem,Sfrp5
Stem,Acot1
Stem,Sp5
Stem,Afap1l1
Stem,Nrn1
Stem,Cyp2e1
Stem,Hmgcs2
Stem,Igfbp4
Stem,Msi1
Stem,Sema7a
Stem,Nr2e3
Stem,Soat1
Stem,Agr3
Stem,Ascl2
Stem,Sorbs2
Stem,Myc
Stem,Cdca7
Stem,Slc12a2
Stem,Scn2b
Stem,Nav1
Stem,RP24-89C4.5
Stem,Kcnq1ot1
Stem,Tead2
Stem,Prss23
Stem,Ung
Stem,Marcksl1
