"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
".",296.749551334513,-2.03721968793792,0.293139344549495,-6.94966310670025,3.66159558425499e-12,9.54168731661741e-11
"0610005C13Rik",635.343167581794,-1.89533723915036,0.291175454304746,-6.50926172220097,7.55210440233756e-11,1.71058307681484e-09
"0610007C21Rik",995.5703801244,-0.614627605814991,0.229957677839183,-2.67278575601559,0.00752242759173588,0.0251968917170699
"0610007L01Rik",2112.9305325326,0.95022248527979,0.248353545173462,3.82608786444385,0.00013019583553847,0.000840997107891598
"0610007P08Rik",622.427002540646,-1.56209886818745,0.56164643815112,-2.7812850969548,0.00541441650756316,0.0193253176040042
"0610007P14Rik",2112.50356406676,0.16848701491806,0.269193722392355,0.625895037301379,0.531383789834155,0.656910235093181
"0610007P22Rik",408.049720182155,0.615260763831004,0.240891468895899,2.55409943179386,0.0106462849299701,0.0334007600523724
"0610008F07Rik",23.3864918932243,-0.0347188537512241,0.374623007435938,-0.0926767792209377,0.926160345098159,0.953283917801054
"0610009B14Rik",48.0524254301881,-0.962879263997297,0.341540013024279,-2.81922828154501,0.00481392686510513,0.0175928188029768
"0610009B22Rik",463.470017897584,-0.758918649707659,0.38946007714222,-1.94864299128284,0.0513380742506274,0.116992340758488
"0610009D07Rik",1390.13085059007,0.018711261238723,0.350247974001578,0.0534228964266291,0.957394962548859,0.972756242099301
"0610009E02Rik",9.91080988853715,-1.00413435718843,0.587506498748807,-1.70914595723945,0.0874239165121908,0.175372597476908
"0610009L18Rik",22.358016422183,-1.40774511725424,0.429382931582166,-3.2785306860407,0.00104349018348705,0.00493972278957376
"0610009O20Rik",1520.54565902435,0.292497272733992,0.283833048229971,1.03052577759374,0.302763257931298,0.442144840565263
"0610010F05Rik",353.865811175009,-2.0587192491252,0.838001814026227,-2.45670022984076,0.0140219637492661,0.0419053008251915
"0610010K14Rik",1230.62525331674,1.1681479250442,0.284330888508189,4.10841020887029,3.98392035738575e-05,0.000299722349478046
"0610010O12Rik",4951.67441528858,0.110256509115178,0.204848772825482,0.538233681336765,0.590415729852338,0.706992031553759
"0610011F06Rik",1240.6412479936,-0.279591643092579,0.288380143100711,-0.969524600710589,0.332283512061084,0.472228372014399
"0610011L14Rik",1246.04764255198,0.836696060469214,0.332973935969563,2.51279745975582,0.0119778079807504,0.0367830508182031
"0610012D04Rik",1.70967701718835,-0.252885399788466,1.28580879949593,-0.196674186619039,0.844082511631815,0.900729805841378
"0610012G03Rik",1465.56289870247,0.646742463259722,0.279975896627004,2.30999336389783,0.020888521522134,0.0576507456498305
"0610012H03Rik",0,NA,NA,NA,NA,NA
"0610025J13Rik",0.117058443472173,-0.543775656091418,3.5338115409304,-0.153877944478117,0.877705974719893,NA
"0610030E20Rik",1342.17741223604,-0.215238353747923,0.253193566249871,-0.85009408783914,0.395272778342644,0.534541470584199
"0610031J06Rik",1604.4858042101,-0.0506088164521776,0.348199095457341,-0.145344479961114,0.884438897626934,0.929168131529642
"0610037L13Rik",950.99629667118,0.133804143519289,0.169282229850771,0.790420492672161,0.429282238218924,0.565315215502822
"0610037P05Rik",869.982204372578,-0.0166624123926431,0.245018743143086,-0.0680046439668195,0.945781937493984,0.965377908437005
"0610038L08Rik",8.45707210994947,-1.49481450521215,0.578491668572792,-2.58398622904983,0.00976656938380643,0.031163045258313
"0610038P03Rik",1.3098668752097,-1.23744502912842,1.31537297813963,-0.940756005858181,0.346829910869212,0.486148857406005
"0610039K10Rik",5.27955617927683,-1.23561582091996,0.681525586703699,-1.8130145735191,0.0698295735987568,0.148077874594536
"0610040B09Rik",0.246158442092819,0.177563476982751,3.4526572358356,0.0514280639096738,0.958984422590233,NA
"0610040B10Rik",14.3683054940539,-1.54246858658001,0.4654208758542,-3.31413708882112,0.000919264252476188,0.00445212089478108
"0610040F04Rik",1.54598129555151,-1.55967164642519,1.29551115731088,-1.20390444931608,0.228626511897497,0.361629695685081
"0610040J01Rik",2388.70836271871,0.37643520940278,0.268192403177941,1.40360131361745,0.160437603742904,0.278670184526177
"0610043K17Rik",3.12251126168597,4.42214518517496,1.26560842996337,3.49408638602616,0.000475687069431896,0.00255465547944973
"0910001L09Rik",745.895468068648,-0.443363254408312,0.257499740717721,-1.72180077996405,0.0851056132685672,0.172135997786466
"1010001B22Rik",0.809326995880425,-2.10097416883324,1.86306238261801,-1.12769931293493,0.259446927930815,0.395297467605071
