"type","geneID","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Btg2",1.59997043787911e-63,0.544633895251301,0.693,0.557,4.96838820074601e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Psmd11",1.88297809596546e-63,-0.278031509050179,0.833,0.98,5.84721188140155e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Nup43",1.88489982980959e-63,-0.266651077721508,0.359,0.786,5.85317944150772e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Mtx2",1.97275031814731e-63,-0.288165338831965,0.749,0.969,6.12598156294284e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ndufaf6",2.18879061632828e-63,-0.258323405414553,0.38,0.82,6.79685150088422e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Smchd1",2.19339945033857e-63,-0.270505609534718,0.436,0.853,6.81116331313635e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Muc3",2.24817933690812e-63,-0.25207721344757,0.06,0.404,6.98127129490079e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rpn1",2.40749285556308e-63,-0.287207674373979,0.721,0.976,7.47598756438003e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cyp2d26",2.49448117923697e-63,0.258597238279252,0.368,0.128,7.74611240588458e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Tomm5",2.66306353310528e-63,-0.280665545067609,0.977,0.993,8.26961118935183e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Il12rb1",2.88142578579205e-63,-0.147871766638507,0.001,0.299,8.94769149262005e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Mcm10",3.04124436741601e-63,-0.179120694772805,0.098,0.479,9.44397613413695e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Setdb2",3.12044962001554e-63,-0.174438373276459,0.039,0.371,9.68993220503425e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rfc3",3.13212754130781e-63,-0.287197086965544,0.43,0.846,9.72619565402315e-59
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rnf149",3.41642967230233e-63,0.418160659842359,0.673,0.558,1.06090390614004e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Sgo1",3.88516850491972e-63,-0.168400853765008,0.058,0.406,1.20646137583272e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Baz1a",3.96942000929546e-63,-0.263007521843124,0.364,0.794,1.23262399548652e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Klhl23",4.59936262725451e-63,0.286882530209313,0.331,0.102,1.42824007664134e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Pin1",5.73655657240182e-63,-0.28029548729705,0.599,0.925,1.78137291242794e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Rad18",5.89985484970459e-63,-0.165463578406703,0.082,0.451,1.83208192647877e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Uchl3",6.58394263651604e-63,-0.28801132538115,0.738,0.96,2.04451170691733e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gins2",6.7187908833295e-63,-0.223260498444362,0.283,0.735,2.08638613300031e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Uqcc3",9.1722160993791e-63,0.374658040855392,0.725,0.644,2.84824826534019e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Ywhag",1.29413843745078e-62,-0.215208429884991,0.232,0.673,4.0186880898159e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Zfp36l2",1.33785096672601e-62,0.415822185821826,0.786,0.723,4.15442860697427e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Slc26a3",1.36934679205301e-62,0.197227435127411,0.262,0.058,4.2522325933622e-58
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Bcl3",1.37904122045761e-62,-0.181608046120817,0.093,0.468,4.282336701887e-58
