"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Pttg1",4.79048394097439e-11,0.149924712076338,0.68,0.547,8.82742475803352e-07
"Zc3h12a",4.87542955082884e-11,0.107019545445533,0.318,0.174,8.98395403331231e-07
"Cnn3",5.06181735568056e-11,0.153622144561476,0.977,0.944,9.32741084131256e-07
"Homer2",5.62455596124952e-11,-0.128454366047776,0.317,0.463,1.03643692697945e-06
"Fermt1",6.54283599380929e-11,0.154616304968362,0.921,0.889,1.20564838857924e-06
"Cirbp",6.77465136673138e-11,0.13847268122498,0.436,0.279,1.24836500734759e-06
"Slc12a2",7.23125241095463e-11,-0.184166499258198,0.918,0.958,1.33250288176661e-06
"Cat",8.67401935777033e-11,-0.125947699059694,0.363,0.491,1.59836154705634e-06
"Ndufb11",9.41443558954643e-11,-0.106344001572847,0.992,0.999,1.73479804608572e-06
"Rpl10.ps3",1.08635932289312e-10,0.148234006591001,0.95,0.928,2.00183432429515e-06
"Cast",1.18871095368895e-10,0.132202453690838,0.532,0.372,2.19043767436263e-06
"Ubc",1.2337682428158e-10,0.182345356593887,0.984,0.974,2.27346474103668e-06
"Mt2",1.34741036171248e-10,-0.254186500330008,0.357,0.488,2.48287307352759e-06
"Glul",1.37048437666919e-10,-0.155600009164517,0.535,0.676,2.52539156088832e-06
"Bmyc",1.41163319987078e-10,-0.126609106691673,0.399,0.533,2.60121649740189e-06
"Gm1123",1.7425029026969e-10,0.149153205244693,0.987,0.981,3.21091009879957e-06
"Rps27",2.24092956445968e-10,0.12924099337536,0.611,0.482,4.12936090842985e-06
"Nop56",2.26699626556284e-10,-0.146390155731477,0.942,0.953,4.17739401855265e-06
"Rflnb",2.28173405529449e-10,-0.124419046842155,0.41,0.547,4.20455134369115e-06
"Dnaja1",2.9122378353562e-10,-0.152085864338821,0.992,0.994,5.36638065921087e-06
"Maged1",2.99117429943118e-10,-0.122417018835063,0.244,0.378,5.51183688156183e-06
"Socs2",3.29973918349221e-10,0.167808315772235,0.83,0.758,6.08042939342109e-06
"H2.T22",3.384127277417e-10,0.120810391110858,0.365,0.233,6.23593133409631e-06
"Agr3",3.60358273831415e-10,-0.125436877844054,0.143,0.269,6.64032191189149e-06
"Bmp3",3.91959255370664e-10,-0.118104504642256,0.129,0.249,7.22263319871523e-06
"Vkorc1",4.16548303862475e-10,-0.127597863307523,0.378,0.515,7.67573559527383e-06
"Atp6v0b",4.2866652677228e-10,-0.142420575958471,0.785,0.853,7.89903808883279e-06
"Eno1",4.52591018355355e-10,0.154974523337521,0.849,0.765,8.33989469523413e-06
"Mkrn2os",4.73311297563167e-10,0.1123664747864,0.376,0.232,8.72170728019647e-06
"Rdh7",5.03622232251306e-10,-0.108487033971225,0.286,0.433,9.28024687369482e-06
"Cebpd",6.71722274752415e-10,0.161999105863332,0.463,0.333,1.23778263568628e-05
"H2afv",7.35262777739388e-10,-0.108680448940623,0.998,1,1.35486872054037e-05
"Tmem208",9.16478029096217e-10,-0.11933422498555,0.953,0.975,1.6887940642156e-05
"Bag1",1.1774126877227e-09,0.121216452122454,0.902,0.861,2.16961835966661e-05
"Car4",1.76014767749391e-09,-0.143037290184484,0.318,0.45,3.24342412531803e-05
"Slc16a10",2.15303449091119e-09,-0.105615158572888,0.288,0.426,3.96739665640206e-05
"Casp1",2.26476998860742e-09,0.137608779325334,0.791,0.719,4.1732916580069e-05
"Reg1",3.2234659209306e-09,0.241355307900107,0.458,0.316,5.93988065249882e-05
"Cycs",3.39760251980963e-09,-0.115976309314561,0.96,0.972,6.2607621632532e-05
"Calml4",3.45875852778825e-09,-0.113704789509683,0.966,0.981,6.37345433915541e-05
"Slc24a5",3.5545298419945e-09,0.114380517478496,0.217,0.11,6.54993213984326e-05
"Ahsa2",3.60578743128278e-09,-0.130269781489213,0.529,0.653,6.64438449962477e-05
"Cldn2",3.87272945724863e-09,-0.144619238215448,0.744,0.828,7.13627857087204e-05
"Psma5",4.10032177823207e-09,0.115158223199794,0.992,0.985,7.55566294074823e-05
"H2.Q2",4.16577817720665e-09,0.13541221666478,0.479,0.346,7.6762794471387e-05
"Pdia6",4.60463569989616e-09,-0.128480647447332,0.958,0.979,8.48496220419866e-05
"Gm10073",5.43466440020564e-09,0.122458893132334,0.936,0.926,0.000100144560902589
"Cps1",7.44336549897995e-09,-0.122059416097887,0.989,1,0.000137158896049704
"Tacc3",7.66508775004106e-09,0.125947624855284,0.72,0.587,0.000141244571970007
"Cd9",8.88656127261086e-09,0.157363936291623,0.87,0.814,0.0001637526645704
"Ech1",9.51442307959116e-09,-0.117194542889715,0.937,0.971,0.000175322274087626
"Plgrkt",1.01550303774123e-08,0.136070136948923,0.87,0.825,0.000187126744764576
"Prlr",1.04989255511444e-08,-0.110051742486661,0.699,0.797,0.000193463701130938
"Calm3",1.45309094917615e-08,0.107208750884723,0.977,0.975,0.000267761069204688
"Nhp2l1",1.54643258391326e-08,-0.105472758779358,0.984,0.992,0.000284961132237696
"Degs2",1.75857381442246e-08,-0.124340577843266,0.826,0.9,0.000324052396783627
"Psmb4",2.18166315653752e-08,0.103400610761141,0.99,0.984,0.000402015069855168
"Ndufaf4",2.59038212147336e-08,-0.128600688394786,0.791,0.859,0.000477329713523897
"Pkm",2.59131586625642e-08,-0.135649901303784,0.937,0.961,0.000477501774675071
"Tagln2",2.62872065524191e-08,-0.106545568196174,0.969,0.984,0.000484394355141426
"Eci2",3.04650125934549e-08,-0.113721898911034,0.64,0.719,0.000561378787059594
"St3gal6",3.21152124197133e-08,-0.112753776649856,0.531,0.646,0.000591787019258056
"Slc1a3",3.27753777501561e-08,0.110830914784241,0.595,0.458,0.000603951885802126
"Tspan8",3.40142752084023e-08,-0.118381635698476,0.995,0.993,0.00062678104926523
"Pitx1",3.57990843009246e-08,0.113435476421898,0.458,0.322,0.000659669726413138
"Akr7a5",3.63387011384335e-08,-0.110987336647632,0.95,0.965,0.000669613245877914
"Foxa3",3.75046988420375e-08,-0.121453109733137,0.33,0.458,0.000691099085562224
"Ggh",3.96096510298421e-08,-0.106830271038893,0.33,0.449,0.000729887039526901
"Zfp326",4.05559538299528e-08,-0.120404963165839,0.651,0.741,0.00074732456122454
"Pla2g16",4.18762808886935e-08,0.151859430904725,0.863,0.815,0.000771654227935954
"Hspa4l",4.24211268201796e-08,-0.126938974451911,0.564,0.674,0.000781694103915449
"Scd2",4.33862768790189e-08,0.111283493548266,0.199,0.104,0.000799478924049681
"Rrbp1",4.96048238354886e-08,-0.127691674470867,0.934,0.968,0.000914068088816548
"Ahsa1",5.39902809669185e-08,-0.111203706030432,0.976,0.979,0.000994878907377407
"Atp1a1",6.57273370692551e-08,-0.107729952381552,0.936,0.962,0.00121115764017516
"Cda",7.72154355231484e-08,-0.114428765251214,0.73,0.806,0.00142284883038506
"Thra",7.72241298297337e-08,-0.132017705197473,0.531,0.624,0.0014230090403725
"Kcnk1",7.75135525082335e-08,-0.12667301158341,0.842,0.878,0.00142834223206922
"Cd44",7.9485337331351e-08,-0.111338838050972,0.402,0.504,0.0014646763110048
"Tnfsf13os",9.42371762811406e-08,0.117847941102367,0.58,0.455,0.00173650844733258
"Comt",9.49886382969158e-08,-0.108787477281149,0.966,0.981,0.00175035563789727
"Krt8",9.7153581175295e-08,-0.125323947617791,0.998,1,0.00179024904031716
"Psma2",1.06559948630702e-07,0.101572824755376,0.997,0.994,0.00196358017341794
"Fgfbp1",1.14640324776336e-07,-0.129231308925875,0.783,0.87,0.00211247726465354
"Pcbd1",1.27995795238688e-07,-0.111605039984777,0.868,0.926,0.0023585785188633
"Pts",1.32663665153031e-07,0.114887924244962,0.854,0.792,0.0024445933577749
"Metap2",1.50575100023542e-07,-0.1145800589509,0.923,0.961,0.0027746473681338
"Gsr",1.50764549525933e-07,0.129412584246744,0.928,0.882,0.00277813835411438
"Tcn2",1.51410013143369e-07,-0.105875853137872,0.445,0.552,0.00279003231219287
"Eif6",1.53203729042331e-07,0.104048613302903,0.968,0.978,0.00282308511506304
"Atxn7l3b",1.54320670249742e-07,-0.114190627076762,0.952,0.977,0.00284366699069199
"Ptgr1",1.60599456186247e-07,-0.123213368355479,0.826,0.89,0.00295936617914397
"Acadvl",1.75326355976101e-07,-0.112260186258041,0.796,0.857,0.0032307387615716
"Sdc1",1.77703700242819e-07,-0.1092112960698,0.555,0.652,0.00327454608437443
"Ptges3",2.15799923708865e-07,-0.10063937283671,0.982,0.989,0.00397654519418326
"Herpud1",2.29845088335065e-07,-0.137405121684788,0.633,0.725,0.00423535544275024
"Tubb5",2.30459780768396e-07,0.124058208184019,1,0.999,0.00424668238021923
"Cdca3",2.47843246095002e-07,0.142766338930583,0.921,0.871,0.00456700749579261
"Rpl10",2.50357778390326e-07,0.110291615752812,0.513,0.387,0.00461334278239854
"Acot7",3.19732119079183e-07,-0.105822919314923,0.73,0.808,0.0058917037582721
"Aldoa",3.32675150702837e-07,0.127075708609016,0.928,0.906,0.00613020500200118
"Ldb3",3.8731830469296e-07,0.118651831931235,0.526,0.41,0.00713711440057718
"Tecr",3.90877246323131e-07,-0.101122327046464,0.974,0.983,0.00720269501799634
"Dazap2",4.25627650755882e-07,0.119310403905493,0.842,0.782,0.00784304072047863
"Tipin",4.26440222175862e-07,-0.125258956655634,0.691,0.759,0.00785801397403462
"Mlec",4.44567720573426e-07,-0.107232532024792,0.96,0.981,0.00819204938700651
"Kcnq1ot1",5.5301311468727e-07,-0.118938092006612,0.592,0.684,0.0101903726643423
"Smco4",5.94066611057095e-07,-0.104767833686136,0.635,0.701,0.0109468654419491
"Cacybp",7.65855304686619e-07,-0.105943865528953,0.969,0.98,0.0141124156994603
"Sptssa",8.74084004282031e-07,-0.100071519061129,0.982,0.992,0.016106745946905
"Mfge8",9.59734418940367e-07,-0.106685934900129,0.596,0.681,0.0176850261378141
"Khk",9.65070798494434e-07,-0.112825789351747,0.781,0.846,0.0177833596038569
"Rpl13a.ps1",1.01025908336408e-06,0.113169320384478,0.624,0.497,0.0186160441291499
"Btg1",1.04907579289587e-06,0.112732870964907,0.775,0.679,0.0193313196356922
"Zfp207",1.0525251867548e-06,0.128433983724843,0.895,0.836,0.0193948816163307
"Gapdh",1.0786362829611e-06,-0.118404624294663,0.879,0.912,0.0198760307861241
"Acsl3",1.13830730849391e-06,-0.10435748024117,0.383,0.482,0.0209755887736174
"Wbp5",1.72379498756415e-06,-0.122508155685958,0.865,0.908,0.0317643702358445
"Acsl1",1.73183211391979e-06,-0.106826184294569,0.367,0.464,0.0319124703632
"Krt7",1.98475432070959e-06,-0.120674091472568,0.712,0.774,0.0365730678677157
"Ift27",2.01633682697908e-06,0.110346223148103,0.534,0.422,0.0371550387107435
"Id2",2.07609604588662e-06,-0.125559554386756,0.45,0.539,0.0382562218375527
"Anxa4",2.44890133190935e-06,0.101518303044349,0.989,0.97,0.0451259048430937
"Birc5",2.51400473698915e-06,0.128609427137977,0.957,0.938,0.046325565288499
"Serhl",2.7809289332934e-06,0.109923743661521,0.659,0.57,0.0512441774537974
"Sephs2",4.31864903305108e-06,0.10067148004562,0.974,0.965,0.0795797457320323
"Rgcc",4.35317828735191e-06,-0.192471406424054,0.362,0.454,0.0802160163010337
"Larp7",5.38233921898867e-06,0.105190492177005,0.619,0.526,0.0991803647883043
"Zc3hav1",5.46240192235917e-06,0.102722577611603,0.524,0.416,0.100655680223312
"Sult1d1",5.5674975296066e-06,-0.114829823872052,0.609,0.688,0.102592276978061
"Gas6",6.23007706328442e-06,-0.107951463694094,0.37,0.473,0.114801630045142
"Fcgbp",7.0031255974996e-06,0.140310406936375,0.203,0.12,0.129046595385125
"Grn",7.09976396369931e-06,0.108710925997689,0.656,0.569,0.130827350559087
"Ssbp4",7.54516703579559e-06,0.10829789444093,0.601,0.495,0.139034792968605
"Bex3",8.48832141025728e-06,-0.102224500059818,0.601,0.689,0.156414298626811
"Mrpl27",8.97197667281697e-06,0.102678144902446,0.867,0.836,0.165326614149998
"Slc3a2",1.09287299938673e-05,-0.100341560212812,0.601,0.677,0.201383707596992
"Glrx",1.22275913592917e-05,-0.117025688987813,0.797,0.855,0.225317825977669
"Ccnb2",1.35168420759837e-05,0.128386881724903,0.783,0.682,0.249074848934152
"Hells",1.36409851585832e-05,-0.122812826916449,0.622,0.7,0.251362433517213
"Uhrf1",1.7153105009725e-05,-0.11846183838704,0.457,0.537,0.316080266014203
"Hook1",1.86925392057041e-05,0.104039258530466,0.924,0.911,0.344447419943509
"Fdps",3.28353171271602e-05,0.143340056067577,0.643,0.567,0.60505638870218
"Sypl",3.96041462724628e-05,-0.100878397108743,0.95,0.972,0.729785603362672
"Gm42418",4.15972263388241e-05,0.178555032306122,0.992,0.988,0.766512089745511
"Prr13",4.37219537092017e-05,0.108792837033762,0.879,0.855,0.805664440999459
"Dmbt1",4.94720427501345e-05,0.110372310944419,0.961,0.903,0.911621331756729
"Lockd",4.98197360708919e-05,0.111331631763374,0.656,0.581,0.918028276578326
"Egr1",6.22124337349865e-05,-0.108064926511743,0.268,0.36,1
"Tuba1b",7.62817090320748e-05,-0.105956005082934,0.987,0.998,1
"Kif22",0.000110889676374375,0.104636158779408,0.648,0.56,1
"Tmem45b",0.000134232829117871,0.104471035772353,0.82,0.762,1
"Ccnd1",0.000146367548362459,0.123286348770069,0.788,0.767,1
"Hadha",0.000156830456370888,-0.103809875666345,0.809,0.852,1
"Cdx2",0.000164757032714311,0.114659503418628,0.92,0.889,1
"Ifi27l2b",0.000250091851865013,-0.102702229459056,0.775,0.823,1
"Rangrf",0.0002708263341638,0.109226400657743,0.942,0.942,1
"Hspa5",0.00044579461971132,-0.116784604996974,0.982,0.992,1
"Hspa1a",0.00066730176656501,-0.136254445015848,0.265,0.343,1
"Cck",0.000756884753099961,0.538948908857127,0.133,0.081,1
"Adh6a",0.00106480969151641,-0.116996601979559,0.26,0.322,1
"Smim24",0.00123281449101864,-0.106868231775726,0.937,0.96,1
"Rrm2",0.00165207246417354,-0.115084609914635,0.625,0.681,1
"Ghrl",0.00264573043412236,0.205022221896757,0.138,0.091,1
"Rbp7",0.00537467308236871,-0.102111917703544,0.521,0.549,1
"Hist1h1c",0.00640699824618083,0.109380831450597,0.453,0.395,1
"Cbx3",0.00732360350641855,0.146042448831444,0.873,0.849,1
"Actb",0.0258972468246569,0.211402512691778,1,1,1
"Ier2",0.23387926761648,0.100623872352455,0.895,0.895,1
